CountyFIPS,NatWalkInd,DIABETES_AdjPrev,OBESITY_AdjPrev,HIGHCHOL_AdjPrev,CHD_AdjPrev,BPHIGH_AdjPrev
01001,5.23437500003125,11.3,38.4,31.5,6.2,37.1
01003,6.4503546099787235,10.2,36.8,31.8,6.0,32.4
01005,5.188405797173913,16.0,43.8,32.8,8.2,44.1
01007,5.033333333333333,13.3,41.4,33.6,7.5,39.1
01009,4.666666666657142,11.6,37.3,33.7,7.3,35.4
01011,3.9761904762857143,19.9,49.4,32.9,8.8,48.9
01013,4.956140350736843,14.8,45.5,33.0,7.4,41.8
01015,5.670329670318681,12.7,38.3,32.5,6.9,38.0
01017,5.621212121242424,14.6,45.4,32.5,7.4,41.0
01019,4.192982456157895,11.3,40.2,32.4,7.0,36.4
01021,4.9611111110333335,11.6,36.3,32.9,6.9,36.5
01023,3.944444444533333,15.1,45.8,33.0,7.6,42.4
01025,4.986111111041667,14.9,44.4,31.9,7.3,41.8
01027,3.974358974307692,13.1,39.6,32.9,7.6,38.4
01029,4.606060606090909,12.2,39.4,33.0,7.7,36.4
01031,5.686868686878787,11.8,34.1,30.3,6.7,35.4
01033,6.742753623217391,12.0,40.9,32.5,7.0,36.8
01035,4.4444444445,15.5,44.7,32.3,7.7,42.1
01037,3.4545454545454546,13.2,42.8,32.1,7.0,38.2
01039,5.276315789552632,11.7,44.6,31.5,6.8,35.7
01041,4.7833333334,12.9,40.3,33.0,7.1,38.1
01043,5.330645161112903,11.6,39.7,33.1,7.6,35.9
01045,5.418604651116279,13.5,44.3,33.7,7.4,38.4
01047,6.089743589692308,17.5,50.5,31.7,7.7,45.4
01049,5.066037735792453,13.8,38.9,33.9,8.5,37.2
01051,5.217391304413043,11.4,36.4,31.0,6.3,35.9
01053,5.833333333366666,15.0,43.5,31.5,7.7,41.8
01055,6.2389558231927715,12.6,41.3,32.8,7.4,36.8
01057,4.138888889055555,13.2,39.2,33.4,7.9,38.9
01059,4.833333333307692,13.5,39.6,33.0,8.1,36.8
01061,4.8819444443333335,12.5,38.2,33.9,7.6,36.8
01063,3.9333333334000002,19.4,51.0,32.7,8.0,50.4
01065,4.564102564153846,15.6,44.4,32.0,7.4,43.7
01067,4.1770833333125,13.7,38.3,32.6,7.6,38.2
01069,6.678571428614286,13.0,37.5,31.2,7.2,39.2
01071,4.803030303,12.4,38.6,33.5,7.9,35.9
01073,9.847812097822395,12.9,39.7,31.4,6.5,39.2
01075,4.8750000000625,12.0,38.3,32.5,7.2,37.0
